States,date,Total positive,Total negaitive,Total test,Total Deaths,votes_dem,votes_gop,Party Score
Connecticut,Sep,4671.0,416226.0,420897.0,134566,884432.0,668266.0,1.3234729883010656
Delaware,Apr,4415.0,13390.0,17805.0,1840,235581.0,185103.0,1.2727022252475648
Delaware,Aug,2641.0,53161.0,55802.0,18439,235581.0,185103.0,1.2727022252475648
Delaware,Jul,3314.0,66852.0,70166.0,16554,235581.0,185103.0,1.2727022252475648
Delaware,Jun,1976.0,48234.0,50210.0,13062,235581.0,185103.0,1.2727022252475648
Delaware,Mar,319.0,3679.0,3998.0,31,235581.0,185103.0,1.2727022252475648
Delaware,May,4764.0,34087.0,38851.0,8381,235581.0,185103.0,1.2727022252475648
Delaware,Oct,2712.0,41452.0,44164.0,13078,235581.0,185103.0,1.2727022252475648
Delaware,Sep,3184.0,46529.0,49713.0,18572,235581.0,185103.0,1.2727022252475648
District of Columbia,Apr,3828.0,12494.0,16322.0,2651,260223.0,11553.0,22.52427940794599
District of Columbia,Aug,1866.0,100075.0,101941.0,18495,260223.0,11553.0,22.52427940794599
District of Columbia,Jul,1799.0,89647.0,91446.0,17731,260223.0,11553.0,22.52427940794599
District of Columbia,Jun,1526.0,49286.0,50812.0,15437,260223.0,11553.0,22.52427940794599
District of Columbia,Mar,495.0,3254.0,3749.0,41,260223.0,11553.0,22.52427940794599
District of Columbia,May,4478.0,21926.0,26404.0,11296,260223.0,11553.0,22.52427940794599
District of Columbia,Oct,1119.0,84828.0,85947.0,12708,260223.0,11553.0,22.52427940794599
District of Columbia,Sep,1334.0,95844.0,97178.0,18516,260223.0,11553.0,22.52427940794599
Florida,Apr,27352.0,294430.0,321782.0,19495,4485745.0,4605515.0,0.9739942221445376
Florida,Aug,153085.0,834366.0,987451.0,287667,4485745.0,4605515.0,0.9739942221445376
Florida,Jul,317952.0,1365141.0,1683093.0,149112,4485745.0,4605515.0,0.9739942221445376
Florida,Jun,96271.0,827375.0,923646.0,89605,4485745.0,4605515.0,0.9739942221445376
Florida,Mar,6336.0,54261.0,60597.0,489,4485745.0,4605515.0,0.9739942221445376
Florida,May,22473.0,616471.0,638944.0,59664,4485745.0,4605515.0,0.9739942221445376
Florida,Oct,53873.0,412890.0,466763.0,305578,4485745.0,4605515.0,0.9739942221445376
Florida,Sep,83045.0,602600.0,685645.0,385716,4485745.0,4605515.0,0.9739942221445376
Georgia,Apr,22226.0,110637.0,132863.0,18051,1837300.0,2068623.0,0.8881753707659636
