state,month,deaths
Oklahoma,July,13870
Oklahoma,June,10849
Oklahoma,March,101
Oklahoma,May,8877
Oklahoma,October,20911
Oklahoma,September,27571
Oregon,April,1829
Oregon,August,12219
Oregon,February,0
Oregon,July,7946
Oregon,June,5420
Oregon,March,129
Oregon,May,4161
Oregon,October,11329
Oregon,September,15457
Pennsylvania,April,30595
Pennsylvania,August,233003
Pennsylvania,July,217270
Pennsylvania,June,188226
Pennsylvania,March,268
Pennsylvania,May,134081
Pennsylvania,October,159672
Pennsylvania,September,239575
Puerto Rico,April,1450
Puerto Rico,August,10262
Puerto Rico,July,5485
Puerto Rico,June,4380
Puerto Rico,March,35
Puerto Rico,May,3633
Puerto Rico,October,13705
Puerto Rico,September,16703
Rhode Island,April,3459
Rhode Island,August,31771
Rhode Island,July,30536
Rhode Island,June,25484
Rhode Island,March,17
Rhode Island,May,15471
Rhode Island,October,21540
Rhode Island,September,32422
South Carolina,April,3284
South Carolina,August,70086
South Carolina,July,35108
South Carolina,June,18424
South Carolina,March,127
South Carolina,May,11736
South Carolina,October,67178
South Carolina,September,92881
South Dakota,April,211
South Dakota,August,4707
South Dakota,July,3471
South Dakota,June,2282
South Dakota,March,22
South Dakota,May,1278
South Dakota,October,5283
South Dakota,September,5746
Tennessee,April,3741
Tennessee,August,42831
Tennessee,July,24839
Tennessee,June,14450
Tennessee,March,59
Tennessee,May,8850
Tennessee,October,51322
Tennessee,September,62682
Texas,April,12274
Texas,August,320762
Texas,February,0
Texas,July,126673
Texas,June,62054
Texas,March,270
Texas,May,40047
Texas,October,322153
Texas,September,440263
Utah,April,722
Utah,August,11327
Utah,February,0
Utah,July,7305
Utah,June,4294
Utah,March,20
Utah,May,2472
Utah,October,9680
Utah,September,13068
Vermont,April,958
Vermont,August,1793
Vermont,July,1738
Vermont,June,1663
Vermont,March,93
Vermont,May,1651
Vermont,October,1102
Vermont,September,1740
Virgin Islands,April,60
Virgin Islands,August,319
Virgin Islands,July,199
Virgin Islands,June,180
Virgin Islands,March,0
Virgin Islands,May,167
Virgin Islands,October,385
Virgin Islands,September,548
Virginia,April,7019
Virginia,August,74189
Virginia,July,61641
Virginia,June,47056
Virginia,March,162
Virginia,May,30685
Virginia,October,63497
Virginia,September,86483
Washington,April,16938
Washington,August,57397
Washington,February,1
Washington,January,0
Washington,July,46101
Washington,June,36893
Washington,March,2377
Washington,May,30824
Washington,October,43502
