state abv.,month,deaths
WA,October,19
WA,September,30
WI,April,30
WI,August,31
WI,February,25
WI,July,31
WI,June,30
WI,March,31
WI,May,31
WI,October,19
WI,September,30
WV,April,30
WV,August,31
WV,July,31
WV,June,30
WV,March,15
WV,May,31
WV,October,19
WV,September,30
WY,April,30
WY,August,31
WY,July,31
WY,June,30
WY,March,21
WY,May,31
WY,October,19
WY,September,30
