,States,date,Total positive,Total negaitive,Total test,deaths
119,Illinois,January,0.0,0.0,0.0,0
120,Illinois,July,35880.0,1060951.0,1096831.0,230706
121,Illinois,June,23978.0,681781.0,705759.0,195076
122,Illinois,March,5990.0,29107.0,35097.0,450
123,Illinois,May,67342.0,561050.0,628392.0,125228
124,Illinois,October,58699.0,1200891.0,1259590.0,175420
125,Illinois,September,59038.0,1502410.0,1561448.0,258320
126,Indiana,April,15676.0,65949.0,103033.0,16218
127,Indiana,August,28042.0,301522.0,533067.0,97177
128,Indiana,July,20560.0,242627.0,379812.0,86855
129,Indiana,June,11020.0,211630.0,280118.0,73069
130,Indiana,March,2159.0,11214.0,24323.0,313
131,Indiana,May,16739.0,149809.0,208962.0,52744
132,Indiana,October,30645.0,161855.0,418144.0,71856
133,Indiana,September,25823.0,277080.0,603930.0,103916
134,Iowa,April,6648.0,28634.0,35282.0,1947
135,Iowa,August,18746.0,127714.0,146460.0,30669
136,Iowa,July,15575.0,154649.0,170224.0,24212
137,Iowa,June,9455.0,138437.0,147892.0,19631
138,Iowa,March,497.0,6873.0,7370.0,26
139,Iowa,May,12407.0,101222.0,113629.0,10769
140,Iowa,October,17415.0,55436.0,72851.0,27677
141,Iowa,September,22268.0,121727.0,143995.0,37216
142,Kansas,April,3810.0,22392.0,26202.0,2241
143,Kansas,August,14800.0,105942.0,120742.0,12644
144,Kansas,July,13369.0,102413.0,115782.0,9654
145,Kansas,June,4724.0,77052.0,81776.0,7457
146,Kansas,March,428.0,4992.0,5420.0,60
147,Kansas,May,5481.0,57842.0,63323.0,5676
148,Kansas,October,13219.0,63725.0,76944.0,14638
149,Kansas,September,17137.0,91064.0,108201.0,16808
150,Kentucky,April,4059.0,43232.0,47291.0,3889
151,Kentucky,August,18245.0,215252.0,231060.0,26308
152,Kentucky,July,14527.0,202362.0,215676.0,20877
153,Kentucky,June,5920.0,151261.0,156814.0,15726
154,Kentucky,March,480.0,6323.0,6803.0,84
155,Kentucky,May,5165.0,154487.0,159485.0,10848
156,Kentucky,October,20704.0,315015.0,330910.0,24594
157,Kentucky,September,20444.0,542845.0,558851.0,33249
158,Louisiana,April,22764.0,99578.0,122342.0,32872
159,Louisiana,August,32614.0,498633.0,531247.0,139101
160,Louisiana,July,58185.0,555547.0,613732.0,109304
161,Louisiana,June,18179.0,335223.0,353402.0,91082
162,Louisiana,March,5237.0,33725.0,38962.0,1137
163,Louisiana,May,11915.0,201885.0,213800.0,75798
164,Louisiana,October,12311.0,285542.0,297853.0,107222
165,Louisiana,September,18564.0,426550.0,445114.0,157941
166,Maine,April,792.0,13458.0,14250.0,843
167,Maine,August,614.0,95154.0,95768.0,3951
168,Maine,July,659.0,71556.0,72215.0,3546
169,Maine,June,928.0,44415.0,45343.0,3010
170,Maine,March,303.0,6046.0,6349.0,13
171,Maine,May,1230.0,27738.0,28968.0,2180
172,Maine,October,598.0,118396.0,118994.0,2721
173,Maine,September,865.0,171300.0,172165.0,4108
174,Maryland,April,20082.0,77749.0,103067.0,13760
175,Maryland,August,19903.0,399759.0,729623.0,112721
176,Maryland,July,20787.0,354549.0,562204.0,103834
177,Maryland,June,14781.0,219193.0,303883.0,88044
178,Maryland,March,1660.0,14851.0,15258.0,84
179,Maryland,May,31036.0,156486.0,224811.0,59244
180,Maryland,October,12019.0,194879.0,515886.0,75889
181,Maryland,September,16476.0,270678.0,667067.0,115669
182,Massachusetts,April,55684.0,173002.0,289737.0,42952
183,Massachusetts,August,10921.0,543166.0,801930.0,273880
184,Massachusetts,February,0.0,0.0,15.0,0
185,Massachusetts,July,8730.0,331559.0,498946.0,259483
186,Massachusetts,June,11917.0,243371.0,354116.0,228975
187,Massachusetts,March,6521.0,40440.0,63975.0,340
188,Massachusetts,May,34760.0,282446.0,395703.0,170827
189,Massachusetts,October,13348.0,302781.0,1255424.0,182426
190,Massachusetts,September,3583.0,490465.0,1646191.0,277353
191,Michigan,April,28851.0,142610.0,171461.0,59519
192,Michigan,August,22451.0,897533.0,919984.0,204451
193,Michigan,July,19846.0,779544.0,799390.0,196370
194,Michigan,June,7160.0,407137.0,414297.0,179464
195,Michigan,March,18282.0,26298.0,44580.0,967
196,Michigan,May,16063.0,398248.0,414311.0,148969
197,Michigan,October,27980.0,709949.0,737929.0,137164
198,Michigan,September,24989.0,858442.0,883431.0,207890
199,Minnesota,April,7200.0,52414.0,59614.0,3818
200,Minnesota,August,21401.0,272268.0,464810.0,54441
201,Minnesota,July,18160.0,210878.0,419600.0,48459
202,Minnesota,June,9981.0,311880.0,321861.0,39472
203,Minnesota,March,915.0,20899.0,21814.0,47
204,Minnesota,May,18206.0,183784.0,201990.0,21878
205,Minnesota,October,26397.0,259167.0,492832.0,41615
