state_x,date,Total positive,Total negaitive,Total test
Minnesota,March,915,20899,21814
Minnesota,May,18206,183784,201990
Minnesota,October,26397,259167,492832
Minnesota,September,23270,263408,540441
Mississippi,April,5878,55988,61866
Mississippi,August,24203,95157,119360
Mississippi,July,31500,135459,166959
Mississippi,June,11746,103963,115709
Mississippi,March,937,3537,4474
Mississippi,May,8686,96811,105497
Mississippi,October,13132,90701,103833
Mississippi,September,15240,147928,163168
Missouri,April,6235,58511,64881
Missouri,August,34374,261808,398436
Missouri,July,28772,284994,471477
Missouri,June,8404,171042,240564
Missouri,March,1327,14614,19166
Missouri,May,5585,107289,99580
Missouri,October,33512,56727,449305
Missouri,September,41416,280014,553242
Montana,April,269,9227,9496
Montana,August,3456,76812,80268
Montana,July,2998,76111,79109
Montana,June,452,50611,51063
Montana,March,183,4200,4383
Montana,May,62,25822,25884
Montana,October,11022,90841,101863
Montana,September,5650,87270,92920
Nebraska,April,3612,18606,22218
Nebraska,August,8280,82115,90395
Nebraska,July,6724,86075,92799
Nebraska,June,5137,71878,77015
Nebraska,March,172,2914,3086
Nebraska,May,10121,65700,75821
Nebraska,October,13773,77258,91031
Nebraska,September,10998,83289,94287
Nevada,April,3885,26307,30192
Nevada,August,21140,106878,128018
Nevada,July,29632,162703,192335
Nevada,June,9863,125145,135008
Nevada,March,1112,10667,11779
Nevada,May,3595,96979,100574
Nevada,October,11519,41988,53507
Nevada,September,10752,89423,100175
New Hampshire,April,1740,14454,17623
New Hampshire,August,731,51876,94067
New Hampshire,July,784,39227,82634
New Hampshire,June,1215,46803,71535
New Hampshire,March,312,5403,6234
New Hampshire,May,2491,45868,55996
New Hampshire,October,1480,39613,98087
New Hampshire,September,991,61806,117380
New Jersey,April,99956,102189,202145
New Jersey,August,10300,751289,761589
New Jersey,July,9993,663962,673955
New Jersey,June,11222,665007,676229
New Jersey,March,18696,27077,45773
New Jersey,May,41793,456434,498227
New Jersey,October,16918,605350,622268
New Jersey,September,13315,741799,755114
New Mexico,April,2932,49626,52558
New Mexico,August,4895,200401,205296
New Mexico,July,8406,205511,213917
New Mexico,June,4358,138915,143273
New Mexico,March,281,12177,12458
New Mexico,May,4411,124951,129362
New Mexico,October,8145,138137,146282
New Mexico,September,3874,154179,158053
New York,April,228577,466873,695450
New York,August,19742,2354054,2373796
New York,July,21560,1952739,1974299
New York,June,22684,1828429,1851113
New York,March,75789,129343,205132
New York,May,66398,1096791,1163189
